squad,player,sub_position,rating,source
Arsenal,Christos Tzolis,,2.467660213919456,cross_league_estimate
Arsenal,Bukayo Saka,W,2.016871583048566,retained
Arsenal,Martin Ødegaard,CM,1.3489740668746937,retained
Arsenal,Declan Rice,DM,1.182344020665395,retained
Arsenal,David Raya,GK,0.8033335441115773,retained
Arsenal,Gabriel Magalhães,CB,0.7262766454173272,retained
Arsenal,Mikel Merino,CM,0.4199094716890394,retained
Arsenal,Kai Havertz,FW,0.3823465843047421,retained
Arsenal,Noni Madueke,W,0.3793603690480384,retained
Arsenal,Gabriel Martinelli,W,0.3147831934148063,retained
Arsenal,William Saliba,CB,0.2032301524693643,retained
Arsenal,Viktor Gyökeres,FW,0.1634607039953818,retained
Arsenal,Ben White,FB,0.1587484202920599,retained
Arsenal,Riccardo Calafiori,FB,0.0975134917617982,retained
Arsenal,Eberechi Eze,AM,0.0641763713540518,retained
Arsenal,Jurriën Timber,FB,-0.1936737628736763,retained
Arsenal,Myles Lewis-Skelly,FB,-0.2197034590327258,retained
Arsenal,Martín Zubimendi,CM,-0.2913142695424766,retained
Arsenal,Piero Hincapié,FB,-0.3926101465943004,retained
Arsenal,Piero Hincapié,FB,-0.4063782040333595,premier_league
Arsenal,Cristhian Mosquera,CB,-0.6025097792570968,retained
Arsenal,Illan Meslier,GK,-1.0333780667031909,premier_league
Aston Villa,Emiliano Martínez,GK,1.3806438727360009,retained
Aston Villa,Lucas Digne,FB,1.0394620775319972,retained
Aston Villa,Douglas Luiz,DM,0.5377180611123554,retained
Aston Villa,Johan Manzambi,,0.5239888516871071,cross_league_estimate
Aston Villa,Boubacar Kamara,DM,0.4927681058440012,retained
Aston Villa,Marco Bizot,GK,0.4297142778122503,retained
Aston Villa,Ollie Watkins,FW,0.3235235178758253,retained
Aston Villa,Donyell Malen,FW,0.3037178348953085,retained
Aston Villa,Pau Torres,CB,0.2385964247462125,retained
Aston Villa,John McGinn,W,0.1559009931187235,retained
Aston Villa,Emi Buendía,W,0.0972910712443969,retained
Aston Villa,Leon Bailey,W,0.0939957884135676,retained
