club,squad_total,squad_size,rated_players,squad_avg,projected_player_count,projected_rating_sum
Manchester City,15.170929039653856,23,23,0.6596056104197329,3.0,0.15585457518342738
Manchester Utd,9.212148353198687,23,22,0.4187340160544858,0.0,0.0
Chelsea,8.311244599009369,25,25,0.3324497839603747,4.0,2.1761642509040224
Arsenal,7.589421144329471,22,22,0.3449736883786123,1.0,2.467660213919456
Newcastle,5.8541854296761615,25,25,0.23416741718704645,5.0,0.30144710467591973
Brighton,5.056558719589176,22,21,0.2407885104566274,4.0,4.210525474409969
Liverpool,3.7964393369717624,17,17,0.22331996099833895,1.0,0.2969992289121104
Bournemouth,3.0342834875848363,19,19,0.1596991309255177,3.0,2.0067714528746166
Aston Villa,2.2303574669769315,23,23,0.09697206378160572,1.0,0.5239888516871071
Brentford,1.9899105933743135,20,20,0.09949552966871568,3.0,1.5458873892451972
Everton,1.3834154631701874,20,20,0.06917077315850936,2.0,0.09232030107906164
Fulham,0.6778710587404742,21,20,0.03389355293702371,2.0,0.5882512803666677
Nottingham,-1.0004461270214864,21,21,-0.047640291762927924,2.0,-0.15269721159755198
Leeds United,-2.663290457284921,20,20,-0.13316452286424604,1.0,0.3175808278221823
Tottenham,-3.085869503175229,27,27,-0.11429146308056402,0.0,0.0
Crystal Palace,-4.282080133438297,18,18,-0.2378933407465721,1.0,0.4557380233216505
Sunderland,-4.917151930258938,18,18,-0.27317510723660765,1.0,-0.0689337017091406
West Ham,-5.144722433771931,17,17,-0.3026307313983489,0.0,0.0
Wolves,-8.21246832667576,23,23,-0.3570638402902504,1.0,0.8084328477397612
Burnley,-8.245661766019815,19,18,-0.45809232033443414,2.0,-0.13663708157484827
